id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1397997663979667457,Thu May 27 19:26:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,syarifnr,False,,howtodresvvell,Banjarnegara,
1397997430604402688,Thu May 27 19:25:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,BangSAT_RIA97,False,,howtodresvvell,Around Milkyway Galaxy,
1397997369505902594,Thu May 27 19:25:21 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,rayenisme,False,,howtodresvvell,"Jakarta, Indonesia",
1397996222816743424,Thu May 27 19:20:47 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,QonitaCuu,False,,howtodresvvell,"Asli Tuban, rantau di Kudus. ",
1397996168391512064,Thu May 27 19:20:34 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @heeburans: MANTAP!!! Pendampingan untuk kurirnya kalau diperlukan juga kak @sicepat_ekspres. 👍 https://t.co/jz9FggbOyD,mantap pendampingan kurirnya kak,in,0,356,gojekbeks,False,,"heeburans, sicepat_ekspres","Bekasi Timur, Indonesia",
1397996113219575808,Thu May 27 19:20:21 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,andaru_tamaa,False,,howtodresvvell,Thailand,
1397995925876838404,Thu May 27 19:19:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @heeburans: 👍 Tidak ada mediasi, kekeluargaan atau damai karena sudah menyangkut keselamatan nyawa kurir. Lanjutkan, SiCepat! https://t.…",tidak mediasi kekeluargaan damai menyangkut keselamatan nyawa kurir lanjutkan sicepat,in,0,48,doyouknowbngtn,,,heeburans,,
1397995913025445891,Thu May 27 19:19:33 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @heeburans: MANTAP!!! Pendampingan untuk kurirnya kalau diperlukan juga kak @sicepat_ekspres. 👍 https://t.co/jz9FggbOyD,mantap pendampingan kurirnya kak,in,0,356,doyouknowbngtn,False,,"heeburans, sicepat_ekspres",,
1397995768745660417,Thu May 27 19:18:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,aardnaf,True,,howtodresvvell,Teyvat,
1397995700000989184,Thu May 27 19:18:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@txtdarionlshop Bagus sicepat ga cmn mengayomi customer tp jg karyawan... Mantab lah,bagus sicepat ga cmn mengayomi customer karyawan mantab,in,1,0,whY_nYo,,,txtdarionlshop,jakarta,
1397995397637804034,Thu May 27 19:17:30 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,adadisiniuntuk,False,,howtodresvvell,,
1397995393284145153,Thu May 27 19:17:29 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,Ultraman_Vidal,False,,howtodresvvell,,
1397995267857649667,Thu May 27 19:17:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @howtodresvvell: alasan lain kenapa sicepat adalah jasa kurir terbaik
https://t.co/w9aBIkpxTZ",alasan sicepat jasa kurir terbaik,in,0,6117,DandiDavasca,False,,howtodresvvell,Milky way,
