,clean_text
118,hai kak octavia informasi perihal counter batu aji batam admin via dm yuk dicek terima kasih saki 
119,dmn almt batu aji batam 
120,kiriman via gudang tidak perlu komplain tabiat statusnya kantor tutup tidak komplain bikin eneg tidak sabar ambil tidak tunggu pengalaman 
121,sore kak octavia terkait tsb pastinya kakak konfirmasi pusat batamnya kak terkait pajak konfirm batamnya terima kasih dilan 
122,sabar admin mungkin pikiran pelampiasan adminnya semangat admin 
123,gafaham kurir sampang ngasal ngirim paketan 
124,maaf salah keterlaluan banget sih lapor pusat kurir nya kendala ga sih hehehe 
125,apapun tidak kak tidak yes doang register tidak nomor resi 
126,kak kirim surabaya tanggal smpai skr masi ketahan juanda pelayanan 
127,oke terima kasih 
128,dear orderan dikirim timbuktu ga nyampe dibreeding hub biar beranak pinak hub terdekat ga diantar kerumah dijemput patjar resi 
129,terima mila barangnya beda alamat penerima ditulis pengirim berbeda 
130,siang kak admn kiriman sdh diterima a mila keluarga saudara tanggal cek kiriman via link kakak tidak terima paketnya hubungi media social twitter terima kasih dika 
131,salah kirim please 
132,bisanya salah masang barcode salah masang barcode fatal ga paket harganya seenaknya ga ganti rugi alasan pdhl salah 
133,nomor handphone alternatif kakak pelapor admin tambahkan laporan terima kasih saki 
134,hai kak mohon maaf kejadian kakak alami tidak admin harapkan admin buatkan laporan pengaduan kakak perihal tsb mohon infokan via dm nama petugas cs melayani kakak alamat email kakak 
135,beneran pakai surabaya magetan pakai kargo sehari nyampe eh lha tidak keberadaannya paketnya 
136,maaf kak infokan via dm pelayanan membuat kakak tidak nyaman nama petugas kantor operasional area kak admn terkait terima kasih dika 
137,tegur ybs cs ramah 
138,layanan packing kantor perwakilan admn mika infokan kak terima kasih dika 
139,paketnya ambil keberatan pelayanan cs tidak ramah bilang bukan kemuan cs kantor temptkan cs 
140,tkyou kak berati kp matraman layanan packing 
141,hai kak alamat kp matraman jl matraman raya matraman jakarta timur kak terima kasih mika 
142,pagi kak mohon maaf pelayanan kakak terima admin cek terkait paketnya sdh pelaporan sdh dikoordinasikan terkait diinvestigasi mohon menunggu proses investigasi perkembangannya kak terima kasih aily 
143,update teman teman smlm paketku ketemu dibalikin penerima paketku trnyt paket salah alamat salah tempel barcode resi amazing kasian penerima paketku salah seller shopee nilai jt tidak barang tgg jwblah dzalim 
144,pagi min paket dikirim tanggal mei yes resi magelang jakarta dipercepat lekas terima kasih 
145,terima kasih respon matraman jl matraman raya a rw palmeriam kecamatan matraman kota jakarta timur daerah ibukota jakarta 
146,pagi kak packaging center kp tomang jakarta barat kp matraman jakarta timur kak terima kasih aily 
147,pagi kak fida admin cek estimasi pengiriman paketnya tanggal kirim status paket kakak sdg proses penerusan kota tujuan mohon ditunggu kak estimasi paketnya pengecekan kiriman akses link 
148,ga diantar cs ternate ditraining biar sopan dalam melayani costumer loh jasa pengiriman 
149,jasa pengemasan barang tidak counter 
150,halo admin paket pembelian dikirim via pertanggal jam paket keluar gateway jakarta tujuan kno medan hingga paket updated posisinya dibantu 
151,status pengiriman tidak bergerak mei cc 
152,pengecekan kiriman akses link ditanyakan silahkan hubungi media social twitter selamat beraktivitas terima kasih aily 
153,kirim paket teman ku gituu keterangannya diterima asing aneh banget kurirnya main kasi 
154,kan parah oknum sengaja blng paket hilang ga paket beneran hilang gmna beratnya smpe kg ga mungkin paket hilang keselip bentuknya ajh ganti barang jual untung 
155,benar banget balasan dm melempar kemari berbeda kota kerugian urus pusat bukan cabang tidak main lempar kemari 
156,malam kak mohon maaf ketidaknyamanannya terkait informasi kirimannya mimin via dm kak terima kasih opal 
157,resi gabisa tracking 
158,malam kak sherly amanda mohon maaf prosedur klaim diajukan kota kak terima kasih raka 
159,admin resi tidak bergerak mohon bantuannya dipercepat 
160,admin resi tidak bergerak mohon bantuannya dipercepat 
161,admin resi tidak bergerak mohon bantuannya dipercepat 
162,admin resi tidak bergerak mohon bantuannya dipercepat 
163,parah juta tidak kecil anggap kecil remeh tanggung jawab kembalikan rugi materiil imateriil 
164,email dipercepat email paling kecewa suruh urus kirim paket lampung jakarta wallah dzalim 
165,tidak penuhi tidak tanda tangan apapun dokumen membayar menggunakan yes dokumen butuh cepat berharap prioritaskan speak up kak kakak tidak 
166,tidak perkembangan kekeh ganti ongkos kirim kirim pakai yes bilang ganti ongkos kirim bayar senilai ajukan anggap nilai pantas dokumen dikirim 
167,hai kak mohon ditunggu infonya via dm terima kasih irwan 
168,kurir ga beres 
169,malam kak mohon maaf kak admin cek kirimannya mohon dibantu infokan resi kirimannya via dm terima kasih ardo 
170,kurir gaji suruh kerja benar he nganter ga rumah keterangan resi diterima barang ga dirumah ga konfirmasi 
171,malam kak ilma mohon maaf adm cek resi tsb sistem dicancel terkait tsb silahkan konfirmasi pengirim marketplace tracking kiriman kakak cek 
172,memang diterima admin senang terima kasih pelanggan setia ditanyakan silahkan hubungi media social twitter terima kasih ardo 
