,clean_text
723,tidak saranin pakai a teraja pas traffic belanjol hindarin pakai layanan reguler pakenya sameday or minimal nextday paling mantap sih pakai kurirnya jin pesen siang sore nyampe pager 
724,nomor resi nya kak sbg penerima 
725,hallo kakak agustin mohon maaf mempermudah pengecekan dibantu informasikan resi sicepatnya kakak terima kasih 
726,banget cc hadeh admin counter nya ngelempar barang keranjang mohon perhatikan keranjang nya butuh cepat banget cc barang lempar seenak jidat salah keranjang ga efisien 
727,bilang isinya surat plastikin req diplastikin 
728,kak informasi informasi bantu terimakasih 
729,kakak mohon maaf kendalnya terima kasih 
730,terima kasih 
731,paling mantap emg au deh 
732,tunggu jam tunggu hingga tidak seumpama tidak penerima kompensasi nya 
733,kakak lakukan proses pengecekan mohon melampirkan bukti pickup kertas bewarna pink drop struck bewarna putih nya kak lakukan proses investigasi terima kasih 
734,dm 
735,hai kak mohon maaf kendala internal data system paket dalam proses pengiriman tim operasional mengirimkan paketnya maksimal jam tujuan alamat kantor jam 
736,tracking coba min 
737,lupa naruh min 
738,kakak jadikan evaluasi kedepannya dibantu kakak terima kasih 
739,kurir nya tidak alamat penerima tidak inisiatif mendingan ambil paketan nya gerai 
740,kakak maksimalkan pengirimannya kakak mohon ditunggu kakak terima kasih 
741,mohon follow up terima kasih 
742,kirim tunggu hingga arahan admin kenyataan nya tidak kirim follow up kurir nya terima kasih 
743,literally benar benar cepat deh 
744,kak mohon maaf ketidaknyamanannya kak perihal kualitas sdm kak terima kasih agent 
745,kakak mohon maaf dibantu lampirkan bukti resi pick up nya kertas berwarna pink diberikan pengirim serah terima paket kurir kakak terima kasih 
746,hai kak ekspres dian paket resi tsb dalam proses pengiriman alamat tujuan paket dibawa hendrix hermawan mohon kesediaannya menunggu kak terimakasih 
747,kak mohon maaf informasi selengkapnya paket kakak dilanjutkan dm kak terima kasih 
748,siang admin estimasi pengiriman paketan bantu follow up bagian kurir nya kurir tidak alamat nya si kurir tidak inisiatif penerima paket 
749,pengirim 
750,kak mohon maaf ketidaknyamanan bantu follow up tim terkait mohon berkenan menunggu proses nya kakak terima kasih 
751,resi 
752,min mudah foto kurirnya pas anak ikutan keluar ambil ga pakai foto aman minimal izin biar dikondisikan terima kasih 
753,hallo kakak selamat siang yogi prasetya bantu kakak chek paket chek paket terkendala mohon kakak kirimkan nomor resi paketnya terima kasih 
754,pakai halu banget paketku dikirim berhari masi ngestuck sidoarjo 
755,cepat paket dikirim nyampe sleman 
756,pakai j amp t aman deh kyknya poster gini tergantung kurir mah sbnrnya 
757,kak mohon ditunggu kak terima kasih 
758,dr x jam pick min mohon terima kasih 
759,hai kak selamat siang mohon maaf kakak pengirim penerima kak terimakasih 
760,oke kak ditunggu 
761,min cek dm 
762,barang sampenya estimasi mei tanggal hilal nya 
763,kakak mohon berkenan menunggu hingga batas estimasi ditentukan kakak terima kasih agent 
764,mohon bantu tracking barang tidak gerak min help 
765,si cepat ga janji anjing estimasi besoknya nyampe 
766,hai kak iqbal lakukan pengecekan manual data kakak berikan tidak sistem mohon konfirmasi pengirim kak terima kasih 
767,bandung jakarta harianteraja jakarta jakarta 
768,paling enak udahan seller kirim resi barangnya wkwkwk 
769,min cek paket deh g resi terima kasih 
770,hallo kak ekspres dibantu nomor resi paketnya lakukan pengecekan terima kasih 
771,iyak benar bgttt perkiraan nyampe besok eh sore wkwk 
772,yaallah bermasalah banget x salah input tersesat deeeh 
773,kak disana status shopeehallo paketnya lambat tidak gerak gerak 
774,si cepat nganternya pakai sukhoi melebihi kecepatan cahaya ga ditracking pintu loph 
775,kakak asa pengecekkan system paket dalam proses pengiriman estimasi pengiriman nya kerja mohon ditunggu kakak terima kasih 
776,min cekin gk gerak gerak deket 
777,kemane siiih bilang pick up jam tidak dateng 
778,gabole penjahat kelamin penjahat kelamin yaaa 
779,kakak berharap paket kakak cepat keadaan kakak mohon ditunggu prosesnya kakak pastikan nomor telepon kakak aktif terima kasih ag 
780,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
781,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
782,min terima kasih mudah an barang 
783,tidak uang wa nyaa hshshs kan pick up beneran cepat datengnyaa ga dateng dateng 
784,beli yuk shopee gratis ongkos kirim plus diskon yuk order dikirim pakai gosen grab anteraja 
785,kakak berharap kendala terselesaikan dimohon kesediaan nya menunggu pastikan nomor telepon aktif informasi terima kasih 
786,lakukan pengecekkan paket kakak dalam estimasi terinput pertanggal estimasi mohon ditunggu batas nomor telepon penerima aktif kakak terimakasih 
787,kak bantu teruskan team terkait bantu kakak terima kasih 
788,hai kak mohon maaf dibantu infokan nomor resi nya dm kak terima kasih 
789,pdhl uda suka banget drpd j amp t eh ngecewain 
790,pelayanan mengecewakan berawal criss cross salah tujuan konfirmasi wa amp twitter tggl follow up amp mohon menunggu pengalaman kena kasus ngk pakai ekpedisi 
791,saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer 
792,siang kak dibantu resi tidak progres kak tanggal mohon dibantu pengecekannya terima kasih 
793,paketku hilang min gmn tuh uda packing aman jebol 
794,is best expedition dont me 
795,cek dm 
796,kak seyna mohon maaf ketidakanyamannya dibantu kembaali telepon yng hub kak terimakasih 
797,status barang resi dikembalikan min sakarang 
798,high risk high return bang kurir cod an dibagi katana emg hig 
799,suka belanja alfamidi drop paket ekspres loh informasi selengkapnya cek amp ketentuan berlaku berlaku toko alfamidi wilayah bandung karawang 
800,hai kakak pengecekan system paket dalam pengiriman estimasi pengirimannya kerja maksimalkan pengirimannya kakak mohon ditunggu kakak terima kasih 
801,kak gmn resi progressnya ga update sjk tanggal 
802,nder dom bekasi exol jugaa banget shopee exp pilih deket rumah 
803,hai kak selamat siang devi mempermudahkan melakukan proses pengecekkan dibantu nomor resinya kak terima kasih 
804,halo kak mohon maaf ketidaknyamanan perihal dibantu informasikan nomor resi nya diketik manual mempercepat proses pengecekkan paketnya kak terima kasih agent 
805,kak mohon maaf perihal dilanjutkan dm kak terima kasih 
806,sedihhh banget dom ku aneh alamat lengkap jalan rumah cat rumah bad address aneh fix 
807,paket co pakai scpt belomm 
808,nomor resi tanggal tidak bergerak mohon ditindaklanjuti kak 
809,dmn gudang bandung selatan nya ambil gerai nya batununggal kopo 
810,dikecewakan dikecewakan pengiriman lambat parah paket rusak pakai kecewa banget loh sayangnya bebas ongkos kirim tokopedia anteraja 
811,kak cek dm terima kasih 
812,kakak mohon tunggu paketnya digerai tujuan kakak paketnya terima kasih 
813,gilak sih tidur ngayal paket tanggal tanggal gila 
814,gini gudang bandung selatan ambil biar ga ribet kesel nunggu sore ga 
815,beneran cepat 
816,a b c 
817,gila juara 
818,hai sahabat main games yuk ayo coba bantu mimin susun urutan puzzle gambar utuh tulis kolom komentar 
819,gajadi marah deh pesan barang tokped toko berbeda berbeda eh datangnya lgsung barengan kurirnya ramah ga kayak dibilang 
820,tumben kurir jam segini dateng pick up pdhl nomer abang nya gaenak nyuruh 
821,kakak intan paket kakak dalam estimasi kakak menunggu pengirimannya mohon dibantu nomor telepon aktif kak terima kasih 
822,mohon berkenan menunggu kak bantu priroritaskan pengirimannya harap paketnya alamat tujuan terima kasih 
823,min cek dm 
824,menelepon 
825,kak mohon maaf mohon kirimkan identitas dm kak terima kasih 
826,pokoknya difollowup dipercepat 
827,nama gion alamat kp kaum rw dayeuhkolot telepon 
828,hai kak mohon kirimkan identitas dm kak terima kasih ag 
829,kak bantu nama actual alamat lengkap patokan penerima telepon dihubungi bantu buatkan pelaporan kak terimakasih ag 
830,kak tidak menutup paket diterima cepat batas estimasi diberikan terima kasih 
831,kakak mohon maaf data system paket dalam proses pengiriman estimasi pengiriman nya kerja mohon ditunggu proses pengiriman nya estimasi kakak tanggal terima kasih 
832,hai kak fachmi terimakasih menghubungi bantu kak terima kasih 
833,bandung selatan gudang nya ambil lambat pengiriman nya 
834,paket dibalikin gudang gabisa ngehubungi nomer penerima 
835,anggota polsek telagasari aiptu asep bripka naan melaksanakn giat patroli rutin antisipasi kriminalitas malam 
836,pengiriman tulis review produk menghimbau menggunakan pengiriman menggunakan tidak tindakan cc 
837,mohon dipercepat follow up kakak customer capek nunggunya terima kasih 
838,halo kak mohon maaf ketidaknyamanan perihal dibantu informasikan nomor resi nya diketik manual mempercepat proses pengecekkan paketnya kak terima kasih agent 
839,pickup paket kerumah cepat j amp t deh 
840,pakai kurir anteraja rumah ku pagi under jam nganterin 
841,ga enaknya pakai tuh kasih ancer ancer kurirnya kurirnya familiar kurir sebutin 
842,hai kak data sistem follow up tim terkait mohon kesediannya menunggu nomor telepon aktif kak terimakasih 
843,tertahan dimedan buyer menunggu mohon difollow up kakak terima kasih 
844,kak dibantu infokan nomor resinya diketik manual kakak nomor resi diawali digid tunggu konfirmasinya terimakasih 
845,hai kakak pagi hamid ekspres kendala kakak alami diinfo nomor resi manual nya kakak 
846,marketplace tokopedia 
847,hai kak mohon maaf kak pick up marketplace online shop kak terima kasih 
848,hai kak paket lakukan pergantiannya tokopedia kak kakak konfirmasi tokopedia terimakasih 
849,halo min request pick up barang kabar 
850,paket hilang berbulan smpe skrng ga diganti gmna min 
851,katalog harga cemilansiap cod sekitaran mustika jaya setu jatimulya pasar btgsiap paket via jabodetabek 
852,halo min telfon masuk pas telfon ga terhubung paket 
853,namanya kilat wkk 
854,kak terimakasih bantu kakak 
855,kak mealkukan pencarian gerai terdekat dilokasi kakak ekspres tangerang pinang berlokasi jl kh hasyim ashari rumah toko buana gardenia blok a pinang kecamatan pinang kota tangerang kak terima kasih 
856,oke kak terimakasih 
857,hai kak status paket kakak cek dipickup tim operasional tanggal mohon kesediaan kakak menunggu x jam perubahan status pengiriman terima kasih 
858,pick up mohon follow up 
859,kakak lakukan pengecekan tim operasional kemalaman pick up paket tsb dalam proses antrian pickup kakak mohon berkenan menunggu proses update annya x jam kakak terima kasih ag 
860,kak terima kasih menghubungi ekspres selamat pagi selamat beraktifitas 
861,anggota polsek telagasari aiptu asep bripka naan melaksanakn giat patroli rutin antisipasi kriminalitas malam kontrol kantor telagasari pesan keamanan ketertiban masyarakat karyawan ingatkan terkait ppkm m 
862,penerima kak 
863,tidakk kak mungkin paham terimakasih 
864,kak bantu kak terimakasih 
865,cepat banget dikirim semalem on way jalan rumah 
866,kakk terimakasih 
867,kak mohon dibantu infokan wilayah kecamatan tangerang nya kak bantu carikan gerai terdekatnya kak terima kasih 
868,pagi kak rikki cek dalam estimasi pick up mohon kesediaanya kakak menunggu prosesnya dalam x jam kakak melakukan pick up semoga paketnya dipick up terima kasih 
869,hai kak selamat pagi devi informasikan kakak pengirim penerima kak terima kasih 
870,min seller shopee kirim paket halu drop counter kan lokasi tangerang 
871,pagi admin pick up kerumah diambil kerumah pakai pickup rada bingung resinya mohon dibantu 
872,tidak ninja antaraja 
873,hallo paket gagal pick up not enough time maksudnya resi 
874,hai kakak mohon maaf perihal paket pengantaran kendala diinternal mohon berkenan menunggu informasi kakak terima kasih agent 
875,halu sih nder beneran cepat banget curiga nganternya pakai buroq 
876,maaf paketan resi tidak dikirim kirim dibalikin smi 
877,wow keren siang order barang sorenya pickup sore diambil komplain cepat ditindaklanjuti barusan ditelp on way jalan rumahku wow super cepat hebat keren penanganannya 
878,cek dm lur 
879,benar paket jelambar nyampe jam sore keren banget deh 
880,pelajari syarat aktivasi pastikan kakak melakukan pinpoint lokasi toko syarat terpenuhi tanda centang berwarna hijau klik aktifkan bebas ongkos kirim aktivasi fitur bebas ongkos kirim kurir anteraja 
881,hallo kakak nabil mohon maaf ketidaknyamanannya dalam proses pengiriman kak mohon berkenan menunggu pastikan telepon aktif kak terima kasih agent 
882,cek dm min 
883,hai kak rikki perihal kendalanya diinfokan nomor resi pengirimannya dm kak terima kasih 
884,pagi paket resi sortation kota dr tanggal mei proses pengantaran paket setelahnya resi kurir pengantaran 
885,gini min pekalongan keluar jakarta 
886,dm 
887,hai kak selamat pagi deninta cs ekspres kakak mohon maaf ketidaknyamanan diinfokan alamat lengkap tujuan paket nomor telfon dihubungi dm kakak terima kasih ag 
888,min nomer resi statusnya delivered nerima 
889,kakak terima kasih infonya mempermudah proses pengiriman mohon informasikan data data dm kaalamat lengkap penerima nama penerima nomor telepon penerima terima kasih 
890,hai kak rini bnatu cek paket kakak paket keluar semarang semarang sortation mohon tunggu kak proses pengirimannya terima kasih 
891,penerima nama nadia 
892,hai kak ekspres yogi mohon maaf kakak penerima pengirim nama terima kasih 
893,keluar semarang 
894,jual album teman ku binn bantu ikutan pusing 
895,sumpah takut banget bajunya sdgkan fck banget pakai bulol ah nya pke gini 
896,pakettt 
897,cek dm min 
898,hallo kak agustin mohon maaf ketidak nyamanannya perihal paket kakak paket kakak dalam estimasi pengiriman kak pengirima kerja terima kasih 
899,hai kak selamat pagi deninta cs ekspres kakak lakukan pengecekan dalam proses antrian pickup kakak mohon berkenan menunggu proses update annya x jam kakak terima kasih ag 
