,id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
96,1399995389923651589,Wed Jun 02 07:44:46 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>",@Gionshohei_33 Mohon maaf atas ketidaknyamanannya. Setelah kami lakukan pengecekan untuk nomor resi tsb paketnya dalam proses investigasi oleh tim kami. Sebelumnya apakah Kakak belum menerima konfirmasi atau di hubungi oleh tim kami perihal kendala Kakak tsb? Terimakasih. ^,mohon maaf ketidaknyamanannya lakukan pengecekan nomor resi tsb paketnya dalam proses investigasi tim kakak menerima konfirmasi hubungi tim perihal kendala kakak tsb terimakasih,in,0,0,sicepat_ekspres,,,Gionshohei_33,Indonesia,
97,1399994837936480258,Wed Jun 02 07:42:34 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@Eclipseal20 002538522469 Mohon maaf sebelumnya,apakah kaka dari pihak penerima atau pengirim ya ka? Terimakasih ^",mohon maaf kakak penerima pengirim kakak terimakasih,in,0,0,sicepat_ekspres,,,Eclipseal20,Indonesia,
98,1399994744244117506,Wed Jun 02 07:42:12 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sicepat_ekspres 002541400269 no resi ini gmn kelanjutan nya tidak update masih stuck batas nyampe nya hari ini..
Kaya gini pelayanan sicepat kaduhung make sicepat lila ngirim na ditanya gudang bandung selatan kdu DM lieur didieu we meh jelas",resi gmn kelanjutan nya tidak update stuck batas nyampe nya kaya gini pelayanan sicepat kaduhung make sicepat lila ngirim na ditanya gudang bandung selatan dm lieur didieu we meh,in,0,0,Gionshohei_33,,,sicepat_ekspres,Bandung,
99,1399994640611241990,Wed Jun 02 07:41:47 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@PoetOfNation1 002707126222 Hai kak, Selamat Siang dengan Saya Sheila. Perihal paket dengan nomor resi tersebut masih dalam proses antrian pick up ya kak. Mohon berkenan menunggu proses pick up nya ya kak. Terima kasih. ^",hai kak selamat siang sheila perihal paket nomor resi dalam proses antrian pick up kak mohon berkenan menunggu proses pick up nya kak terima kasih,in,0,0,sicepat_ekspres,,,PoetOfNation1,Indonesia,
100,1399994608684175363,Wed Jun 02 07:41:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres 002707240642 kok belum di update lagi yak?,update yak,in,0,0,Zesh0_1,,,sicepat_ekspres,"Gresik, Indonesia",
101,1399993327638880266,Wed Jun 02 07:36:34 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@sicepat_ekspres min ini udah lima harian stuck mulu bisa mintol dicekkin kah ini resinya 002538522469,min harian stuck melulu mintol dicekkin resinya,in,0,0,Eclipseal20,,,sicepat_ekspres,,
102,1399992329486749699,Wed Jun 02 07:32:36 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@araisyi 002541643837 dan 002541398774 Hi kak, mohon maaf atas kendala ini ya, agar memudahkan kami melakukan proses investigasi,kakak bantu hubungi kami melalui Channel email atau Line ya Kak, untuk alamat nya bisa akses melalui link https://t.co/bIRZJDQuKF. Terima kasih ^",hai kak mohon maaf kendala memudahkan melakukan proses investigasi kakak bantu hubungi channel email line kak alamat nya akses link terima kasih,in,0,0,sicepat_ekspres,False,,araisyi,Indonesia,
103,1399991576596664321,Wed Jun 02 07:29:37 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@Ryand_H Baik kakak, saat ini sudah kami follow up ke tim terkait kami dan bisa dibantu ka untuk nomor telepon kakak melalui DM kami ya ka. Terima kasih ^AG48",kakak follow up tim terkait dibantu kakak nomor telepon kakak dm kakak terima kasih ag,in,0,0,sicepat_ekspres,,,Ryand_H,Indonesia,
104,1399991013410672645,Wed Jun 02 07:27:22 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@diarasati Haha iya kk resinya baru aja nih dikirim sicepat 😂
Semoga suka ya dg acrylic lelouch nya 🥰💕💕💕
Mono tunggu next ordernya jg ya kak✨",tertawa kakak resinya dikirim sicepat semoga suka dg acrylic lelouch nya mono tunggu ordernya kak,in,1,0,monomania_id,,,diarasati,"Jakarta Selatan, DKI Jakarta",
105,1399990375574425603,Wed Jun 02 07:24:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres paket saya dengan no resi 002541643837 dan 002541398774 statusnya udah delivered padahal saya belum nerima barangnya gimana ya?,paket resi statusnya delivered nerima barangnya,in,0,0,araisyi,,,sicepat_ekspres,,
106,1399989651323056140,Wed Jun 02 07:21:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres Min mana belum ada follow up sama sekali ini,min follow up,in,0,0,Ryand_H,,,sicepat_ekspres,"Bojongsoang, Indonesia",
107,1399989649225916420,Wed Jun 02 07:21:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mas2 paket yang biasa nganterin paket yang baik harus tu sicepat doang 🙂,mas paket nganterin paket tu sicepat doang,in,0,0,sapachilmi,,,,"Blora, Indonesia",
108,1399987213388050434,Wed Jun 02 07:12:16 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@sicepat_ekspres 
Tolong segera di pick up https://t.co/aH6iQoMq2G",pick up,in,0,0,PoetOfNation1,False,,sicepat_ekspres,,
109,1399985167582732289,Wed Jun 02 07:04:09 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@cimengimnida BENERRR gue benci bgt kalo shopee express lama beeet mending ganti sicepat,benerrr benci banget shopee express beeet lebih baik ganti sicepat,in,0,0,_vforvia,,,cimengimnida,ca,
110,1399984917744807939,Wed Jun 02 07:03:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shopee express lama banget dahh👎 mending sicepat atau jnt anjir,shopee express banget dahh lebih baik sicepat jnt anjing,in,0,0,cimengimnida,,,,wakanda,
111,1399984633844928515,Wed Jun 02 07:02:01 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@sicepat_ekspres cek dm dong kak,cek dm kak,in,0,0,drndmme,,,sicepat_ekspres,,
112,1399984523199193094,Wed Jun 02 07:01:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@p0rror0w Emng kalo pake sicepat tuh bener"" cepet bngt dateng nya",memang pakai sicepat tuh benar cepat bngt dateng nya,in,0,0,dsymlh,,,p0rror0w,방탄소년단 ,
113,1399982285865189376,Wed Jun 02 06:52:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @markbitee: @njmcity00 aku saranin nih kalau mau pipa poster aman pake sicepat
soalnya aku kejadian 2x hilang tanpa konfirmasi ke buyer…",saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer,in,0,38,inenoviantii,,,"markbitee, njmcity00",Virtual paradise,
114,1399981492483153924,Wed Jun 02 06:49:32 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@sellkpopfess @dandelionisaflo Aku juga udh ceesan sama j*t, sicepat, jneee ueueue hmu kak",ceesan j t sicepat jneee ueueue hmu kak,in,0,0,greynjun,,,"sellkpopfess, dandelionisaflo",,
115,1399981070141976580,Wed Jun 02 06:47:52 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sicepat ternyata betul-betul cepat,sicepat cepat,in,0,0,jauhrer,,,,,
116,1399980998243151872,Wed Jun 02 06:47:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ikibeael_ ""sicepat""",sicepat,en,0,0,madreza95,,,ikibeael_,Depok,
117,1399980338558869511,Wed Jun 02 06:44:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@BoopPJihoon Udah ngalahin paket sicepat,ngalahin paket sicepat,in,0,0,BoopSJAKE,,,BoopPJihoon,,
118,1399978503748034561,Wed Jun 02 06:37:40 +0000 2021,"<a href=""https://api.sociomile.net"" rel=""nofollow"">OmniChannel SML</a>","@julielevine_  002541371994 Baik Kak, mohon maaf sebelumnya bisa dibantu untuk infokan nama penerima, alamat lengkap dan nomor telpon yang aktif melalui DM kami ya Kak, terima kasih ^",kak mohon maaf dibantu infokan nama penerima alamat lengkap nomor telpon aktif dm kak terima kasih,in,0,0,sicepat_ekspres,,,julielevine_,Indonesia,
119,1399977863894298624,Wed Jun 02 06:35:07 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tubirfess Bismillah gratis ongkir seumur hidup @sicepat_ekspres,bismillah gratis ongkos kirim seumur,in,0,0,svvnrise,,,"tubirfess, sicepat_ekspres",Moon,
120,1399977785137897477,Wed Jun 02 06:34:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sebagian msh di gudang sicepat :)))) https://t.co/IUwgOsgn8M,gudang sicepat,in,0,0,cina_tanpatoko,False,,,"Menteng, Indonesia",
121,1399977756809601030,Wed Jun 02 06:34:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@txtdariolshop_ sicepat,sicepat,en,0,0,social__observe,,,txtdariolshop_,"East Java, Indonesia",
122,1399977754502647815,Wed Jun 02 06:34:41 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @markbitee: @njmcity00 aku saranin nih kalau mau pipa poster aman pake sicepat
soalnya aku kejadian 2x hilang tanpa konfirmasi ke buyer…",saranin pipa poster aman pakai sicepatsoalnya kejadian x hilang konfirmasi buyer,in,0,38,strchans,,,"markbitee, njmcity00",,
