id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1398082285887361024,Fri May 28 01:02:46 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@jntexpressid Saya sebagai pengirim .. Min tolong cek paket saya dengan nomor resi JP0709832259
Katanya mau dikembalikan ke pengirim tapi sampai hari ini belum ada kabar..",pengirim min cek paket nomor resi jp katanya dikembalikan pengirim kabar,in,0,0,abufaiqmustofa,,,jntexpressid,Jakarta selatan,
1398081082742886402,Fri May 28 00:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid min knp no resi JP4152229724 bisa ada di medan ya? Di app storenya di jakarta utara soalnya,min resi jp medan app storenya jakarta utara,in,0,0,ibethbebeth,,,jntexpressid,,
1398076514340544515,Fri May 28 00:39:50 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid @jntlampung https://t.co/y6VMQgPO5B,,und,0,0,apple_inyoureye,False,,"jntexpressid, jntlampung",,
1398072769129050114,Fri May 28 00:24:57 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Bondan_ts @Chovifah_ @jntexpressid Makasih Kak atas penjelasannya. Aku juga sempet mikir gitu karna paket mbakku sering dibawa pulang kurir dulu dan dikirim paginya, tapi biasanya kurir ngabarin dulu. 
Mungkin yang ini paket saking banyaknya ya, jadinya kurir lupa ngabarin 😁",terima kasih kak penjelasannya mikir paket mbakku dibawa pulang kurir dikirim paginya kurir ngabarin mungkin paket saking banyaknya kurir lupa ngabarin,in,0,0,fikrankran,,,"Bondan_ts, Chovifah_, jntexpressid",,
1398071297439985672,Fri May 28 00:19:06 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kasus paket ilng gue yang dikirim pake @jntexpressid masih gak ada kelanjutan donggg. Gak ada update, mau tanggung jawab gak nih? https://t.co/XuCAfJXrJH",kasus paket ilng dikirim pakai tidak kelanjutan donggg tidak update tanggung jawab tidak,in,0,1,hihellohey92,False,,jntexpressid,,
1398068957211357184,Fri May 28 00:09:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jntexpressid pagi min.. bisa tolong dicek paket dengan resi 1085316145,pagi min dicek paket resi,in,0,0,macanhitammm,,,jntexpressid,,
1398064649593974785,Thu May 27 23:52:41 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jntexpressid min cek DM,min cek dm,in,0,0,desykyuyelf,,,jntexpressid,,
1398059649149005826,Thu May 27 23:32:49 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid min tolong di cek dong kok udah sama delivery courier tiba2 ke palembang transit center sih? Tolong di follow up
JP8152526669 https://t.co/Nz8iP6XKrt",min cek delivery courier palembang transit center sih follow upjp,in,0,0,doykyungsooh,False,,jntexpressid,triple d's + 10's heart💚,
1398057791516909569,Thu May 27 23:25:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid min kalo saya mau komplain kemana?? Saya ada kirim paket kemaren bamdung - cbekasi, tapi kok di lacak di web paketnya sudah dibekasi malah balik lagi ke bandung 🤦

Gimana sih ini? https://t.co/47grPaFK5j",min komplain kirim paket bamdung cbekasi lacak web paketnya dibekasi bandung sih,in,0,0,Ridwan_Syawaldi,False,,jntexpressid,"Bandung, Jawa Barat.",
1398055661338910721,Thu May 27 23:16:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jntexpressid benarr, kami selalu bahagia deh pakai J&amp;T, belum lama ini udah kehilangan paket juga di sini, sekarang eh temen saya juga ilang paketnya, dan pihak jnt nya pun sesantai itu jawabnya hehe..
ya gimana pake j&amp;t karna gada pilihan pengantaran lebih banyak kek dulu di @ShopeeID https://t.co/jAuDiFjDXz",benarr bahagia deh pakai j amp t kehilangan paket eh teman hilang paketnya jnt nya sesantai jawabnya he pakai j amp t gada pilihan pengantaran,in,0,0,piinoooooooo,False,,"jntexpressid, ShopeeID","Bandar Lampung, Lampung",
1398054301637906434,Thu May 27 23:11:34 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@paxiasahara @jntexpressid di palung ? kirain di darat,palung kirain darat,in,0,0,adinda_putra03,,,"paxiasahara, jntexpressid",Malang City,"[[111.807849, -7.313244], [111.92118, -7.313244], [111.92118, -7.152698], [111.807849, -7.152698]]"
1398053837483634688,Thu May 27 23:09:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@adinda_putra03 @jntexpressid Maklum lah, saya lagi di pedalaman 🙃",maklum pedalaman,in,0,0,paxiasahara,,,"adinda_putra03, jntexpressid",,
1398053023453044739,Thu May 27 23:06:30 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@paxiasahara @jntexpressid tumben nih @jntexpressid bisa molor sampe segitu, kemarin h-4 lebaran 2 hari nyampe",tumben molor segitu h lebaran nyampe,in,0,0,adinda_putra03,,,"paxiasahara, jntexpressid, jntexpressid",Malang City,"[[111.807849, -7.313244], [111.92118, -7.313244], [111.92118, -7.152698], [111.807849, -7.152698]]"
